date,transect,file_name,bed,lat,long,count,on_gravel,notes,id,left,top,right,bottom
5/28/2021,"3",05282021-Irq-D3,Downstream,44.836525,-75.299435,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
5/28/2021,"4",05282021-Irq-D4,Downstream,44.83638,-75.29941833,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
5/28/2021,"4",05282021-Irq-D4,Downstream,44.83651333,-75.29936667,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/1/2021,"5",06012021-Irq-D5,Downstream,44.83628,-75.29930667,"1",Yes,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/1/2021,"5",06012021-Irq-D5,Downstream,44.83644,-75.299325,"1",Yes,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/6/2021,"5",06062021-Irq-D5,Downstream,44.83632,-75.29932333,"3",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/6/2021,"4",06062021-Irq-D4,Downstream,44.836415,-75.29942167,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/6/2021,"5",06062021-Irq-D5,Downstream,44.83634833,-75.29931833,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/6/2021,"5",06062021-Irq-D5,Downstream,44.83642667,-75.29931167,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/7/2021,"5",06072021-Irq-D5,Downstream,44.83632667,-75.29931667,"4",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/7/2021,"4",06072021-Irq-D4,Downstream,44.83645667,-75.29935167,"3",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/7/2021,"5",06072021-Irq-D5,Downstream,44.83629833,-75.29931333,"3",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/7/2021,"5",06072021-Irq-D5,Downstream,44.83635667,-75.29931833,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/7/2021,"5",06072021-Irq-D5,Downstream,44.836515,-75.29926167,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/7/2021,"5",06072021-Irq-D5,Downstream,44.83653667,-75.299245,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/7/2021,"5",06072021-Irq-D5,Downstream,44.83639667,-75.299305,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/7/2021,"5",06072021-Irq-D5,Downstream,44.83648,-75.29927833,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/8/2021,"5",06082021-Irq-D5,Downstream,44.83646333,-75.299245,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
5/23/2022,"4",Capture0024,Downstream,44.83629333,-75.29939333,"1",,53.0F  :47 Still shot,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
5/31/2022,"4",Capture0003,Downstream,44.836545,-75.29934167,"1",,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
5/31/2022,"5",Capture0004,Downstream,44.83634667,-75.29931167,"1",,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
